fecha,volumen_pronosticado,ic_inferior_90,ic_superior_90
2026-01-01,1645.950387251913,1177.594888717158,2114.305885786668
2026-01-02,1762.5305055580402,1294.0808327717887,2230.9801783442917
2026-01-03,1380.4442550715466,911.9047165488514,1848.983793594242
2026-01-04,1128.1942733727542,659.5689668007262,1596.8195799447822
2026-01-05,1979.0253056028791,1510.318317715016,2447.7322934907424
2026-01-06,2045.4389774322399,1576.6539304293365,2514.2240244351433
2026-01-07,1877.1323503904744,1408.2727968674674,2345.991903913481
2026-01-08,1757.2329251068968,1284.0913359378906,2230.374514275903
2026-01-09,1792.3191939801509,1319.0903343257348,2265.548053634567
2026-01-10,1416.1103814422372,942.7982423840713,1889.4225205004032
2026-01-11,1161.2442610492817,687.8526352348242,1634.6358868637392
2026-01-12,1982.5007734134028,1509.0334738628121,2455.9680729639936
2026-01-13,2061.381530995331,1587.8419033761384,2534.921158614524
2026-01-14,1901.3317488115688,1427.7230791997565,2374.9404184233813
2026-01-15,1790.7133173417396,1316.5233142642667,2264.903320419213
2026-01-16,1816.993372113124,1342.735364197738,2291.25138002851
2026-01-17,1440.395527628748,966.0726219818143,1914.7184332756815
2026-01-18,1184.3269227184207,709.9420687339996,1658.711776702842
2026-01-19,2001.7904479023216,1527.3466416619624,2476.2342541426806
2026-01-20,2080.9334787430585,1606.4333172695358,2555.433640216581
2026-01-21,1920.7482707513373,1446.194307477578,2395.3022340250964
2026-01-22,1810.1018442380082,1335.1786249373592,2285.0250635386574
2026-01-23,1834.621961265578,1359.6463228464384,2309.5975996847174
2026-01-24,1457.085623793295,982.0599592784305,1932.1112883081596
2026-01-25,1200.0120691757236,724.9386468637063,1675.085491487741
2026-01-26,2016.2340431382586,1541.115195994474,2491.352890282043
2026-01-27,2094.5398683123267,1619.3775909401459,2569.7021456845077
2026-01-28,1933.4939214722426,1458.290175384629,2408.697667559856
2026-01-29,1822.0127822182146,1346.4866034639845,2297.538960972445
2026-01-30,1845.547971938471,1369.9811049897655,2321.1148388871766
2026-01-31,1467.1232469168576,991.5175479151548,1942.7289459185604
2026-02-01,1209.1731767777214,733.5304019164298,1684.815951639013
2026-02-02,2024.514931012501,1548.8369130941858,2500.192948930816
2026-02-03,2101.9993347206982,1626.2876171210085,2577.711052320388
2026-02-04,1940.150309583816,1464.406408586684,2415.894210580948
2026-02-05,1827.8899263095684,1351.8513543235038,2303.9284982956333
2026-02-06,1850.6534212171,1374.5829617863,2326.7238806479
2026-02-07,1471.48896727084,995.3880740768154,1947.5898604648646
2026-02-08,1212.8236017043757,736.6936470360492,1688.9535563727022
2026-02-09,2027.473581149274,1551.316021671017,2503.631140627531
2026-02-10,2104.296302181267,1628.1123444264722,2580.480259936062
2026-02-11,1941.8123079541697,1465.6031343209138,2418.0214815874256
2026-02-12,1828.9446794478163,1352.4625334914388,2305.4268254041936
2026-02-13,1851.1275298861076,1374.6201285233224,2327.634931248893
2026-02-14,1471.4117918889067,994.8802856867047,1947.9432980911088
2026-02-15,1212.2241484122167,735.6696205131793,1688.778676311254
2026-02-16,2026.381101627989,1549.8047244474421,2502.9574788085356
2026-02-17,2102.7409764064673,1626.1437039506523,2579.3382488622824
2026-02-18,1939.8242477324732,1463.2070108498276,2416.4414846151185
2026-02-19,1826.5543125247975,1349.6817931927944,2303.4268318568006
2026-02-20,1848.3653557696703,1371.472606956232,2325.2581045831084
2026-02-21,1468.3087168680313,991.3966595217784,1945.2207742142841
2026-02-22,1208.8111466911632,731.8806449164227,1685.7416484659038
2026-02-23,2022.68923403485,1545.7412441501622,2499.637223919538
2026-02-24,2098.801417078105,1621.836702749552,2575.7661314066577
2026-02-25,1935.6681491292009,1458.6874505965347,2412.648847661867
2026-02-26,1822.2128034793918,1344.991373843496,2299.4342331152875
2026-02-27,1843.869479166549,1366.6316518165195,2321.1073065165783
2026-02-28,1463.6894232801976,986.4359441493395,1940.9429024110557
2026-03-01,1204.0992233512861,726.8307895943842,1681.367657108188
2026-03-02,2017.9152685167815,1540.6326711259862,2495.1978659075767
2026-03-03,2093.9957620695222,1616.6996204107465,2571.291903728298
2026-03-04,1930.860872004904,1453.5517810016488,2408.1699630081594
2026-03-05,1817.4336491011638,1339.8958530737282,2294.9714451285995
2026-03-06,1839.1478273302816,1361.5965733841306,2316.699081276433
2026-03-07,1459.0542520574659,981.4901518736092,1936.6183522413226
2026-03-08,1199.5790667536048,722.0026894244932,1677.1554440827165
2026-03-09,2013.5381780960206,1535.950187300096,2491.126168891945
2026-03-10,2089.7892692597866,1612.1901742982,2567.388364221373
2026-03-11,1926.8519496791687,1449.2422339821287,2404.4616653762087
2026-03-12,1813.6486751212913,1335.8202318556403,2291.4771183869425
2026-03-13,1835.6125483415788,1357.7729173551975,2313.45217932796
2026-03-14,1455.793748650293,977.9434379604489,1933.6440593401371
2026-03-15,1196.6177189161094,718.7571987342906,1674.4782390979283
2026-03-16,2010.8996319211813,1533.0294672264204,2488.769796615942
2026-03-17,2087.496404635459,1609.6170202424644,2565.3757890284533
2026-03-18,1924.9268488493433,1447.0386420825935,2402.815055616093
2026-03-19,1812.1125924202222,1334.0139642971649,2290.2112205432795
2026-03-20,1834.4858809652533,1356.3778299536089,2312.5939319768977
2026-03-21,1455.0960086049897,976.9789621381886,1933.2130550717907
2026-03-22,1196.3675060708163,718.2418574975685,1674.493154644064
2026-03-23,2011.1146082857013,1532.9808455482685,2489.248371023134
2026-03-24,2088.1932698658047,1610.0517525000585,2566.3347872315508
2026-03-25,1926.1213169960204,1447.9723753808603,2404.2702586111805
2026-03-26,1813.8193699733938,1335.4669431871894,2292.1717967595982
2026-03-27,1836.718646207257,1358.3581777659656,2315.0791146485485
2026-03-28,1457.867392305713,979.4992465746736,1936.2355380367526
2026-03-29,1199.689073539442,721.313583714425,1678.064563364459
2026-03-30,2014.996842809598,1536.6144362945538,2493.3792493246424
